cp7,concelho,distrito
7830-000,,
7750-104,Mértola,Beja
8005-073,Faro,Faro
8005-321,,
8700-283,,
8005-000,,
8000-136,Faro,Faro
8005-127,,
8000-000,,
8005-072,Faro,Faro
8005-298,,
8000-147,,
8005-308,,
8005-311,,
8005-124,,
8005-315,,
8600-000,,
8600-269,Lagos,Faro
8600-265,Lagos,Faro
8600-647,,
8100-659,,
8135-000,,
8100-000,,
8100-657,,
8125-463,,
8125-032,,
8100-645,,
8125-000,,
8125-810,,
8125-161,,
8125-155,,
8700-000,,
8700-045,,
8700-168,,
8700-229,,
8700-244,,
8365-000,,
8300-000,,
8800-436,,
8800-000,,
8800-465,,
8500-470,,
8500-517,,
8500-803,,
8500-000,,
8500-301,,
8500-447,,
8500-516,,
8500-295,,
8500-482,,
8500-079,,
8500-838,,
8500-779,,
8500-312,,
8500-053,,
8500-713,,
8200-916,,
8200-361,,
8200-238,,
8950-000,,
8400-000,,
8150-000,,
8900-489,,
8900-414,,
8900-000,,
8900-100,,
4820-000,,
4710-174,,
4700-000,,
4700-164,,
4710-038,,
4705-000,,
4700-249,,
4700-761,,
4710-000,,
4715-000,,
4700-913,,
4710-358,,
4710-252,,
4700-189,,
4700-012,,
4720-000,,
4815-766,,
4815-000,,
4750-206,,
4755-000,,
4750-000,,
4740-000,,
4740-307,,
4805-000,,
4810-000,,
4810-536,,
4765-698,,
4810-545,,
4810-248,,
4765-469,,
4800-000,,
4835-024,,
4810-082,,
4835-000,,
4810-066,,
4730-714,,
4730-687,,
4730-000,,
4730-118,,
4830-000,,
4890-000,,
4765-631,,
4760-000,,
4765-000,,
4770-000,,
7000-773,,
7000-699,,
7005-000,,
7000-233,,
7170-000,,
7040-000,,
7150-000,,
7160-000,,
7050-000,,
7200-000,,
7200-490,,
4470-538,,
4475-000,,
4425-131,,
4425-299,,
4425-244,,
4475-316,,
4470-000,,
4425-000,,
4640-000,,
4250-000,,
4000-000,,
4300-000,,
4100-155,,
4000-317,,
4200-275,,
4350-000,,
4100-467,,
4200-000,,
4200-300,,
4050-000,,
4100-000,,
4200-402,,
4000-127,,
4150-000,,
4150-073,,
4745-000,,
4785-000,,
4620-151,,
4620-000,,
4580-384,,
4580-498,,
4580-851,,
4585-942,,
4585-477,,
4585-029,,
4580-000,,
4580-521,,
4580-639,,
4580-572,,
4585-921,,
4580-517,,
4585-000,,
4445-000,,
4440-000,,
4615-517,,
4605-000,,
4600-000,,
4615-283,,
4510-000,,
4510-514,,
4420-000,,
4435-726,,
4435-359,,
4420-592,,
4510-611,,
4420-630,,
4435-064,,
4435-779,,
4435-000,,
4435-304,,
4575-201,,
4560-000,,
4575-116,,
4560-842,,
4560-868,,
4560-830,,
4575-000,,
4610-163,,
4615-000,,
4650-000,,
4610-719,,
4615-352,,
4610-000,,
4610-606,,
4450-716,,
4465-760,,
4460-757,,
4465-668,,
4460-092,,
4465-065,,
4460-808,,
4455-819,,
4460-000,,
4465-000,,
4460-016,,
4450-169,,
4450-421,,
4465-705,,
4450-450,,
4455-000,,
4450-397,,
4450-000,,
4465-034,,
4455-160,,
4450-409,,
4465-050,,
4780-000,,
4795-000,,
4485-967,,
4485-000,,
4480-736,,
4480-000,,
4480-679,,
4480-739,,
4480-206,,
4495-000,,
4495-617,,
4495-595,,
4495-627,,
4495-631,,
4495-641,,
4495-494,,
4490-000,,
4595-000,,
4590-000,,
4415-000,,
4415-567,,
4405-495,,
4400-494,,
4400-000,,
4400-104,,
4430-634,,
4413-302,,
4410-000,,
4415-568,,
4410-315,,
4400-719,,
4405-000,,
4430-000,,
4415-294,,
4405-112,,
4405-387,,
4625-000,,
4635-000,,
4625-541,,
4630-000,,
4630-211,,
3520-042,,
3520-000,,
3500-022,,
3515-475,,
3510-000,,
3510-143,,
3510-792,,
3500-504,,
3500-000,,
3515-000,,
3505-093,,
3510-166,,
3510-215,,
3515-386,,
3510-314,,
3500-462,,
3505-000,,
3505-513,,
3510-588,,
5100-008,,
5100-000,,
5100-183,,
5100-020,,
5100-207,,
5100-007,,
4660-000,,
3610-168,,
3530-138,,
3430-000,,
3430-010,,
3440-397,,
3440-000,,
3660-169,,
3660-000,,
3680-000,,
5130-000,,
3880-000,,
3885-000,,
3840-222,,
3840-000,,
3750-761,,
3750-000,,
3750-839,,
3780-000,,
4540-000,,
3800-278,,
3810-000,,
3800-000,,
3810-330,,
3800-825,,
3830-000,,
3830-889,,
4500-294,,
4500-000,,
3050-000,,
